id,action_level,source_name,published_at,collected_at,page_type,title,relevance_reason,deadline_text,url
3,background,Минсельхоз России - меры господдержки,,2026-05-14T07:07:02.607644+00:00,news_background,Федеральная научно-техническая программа развития сельского хозяйства на 2017-2030 годы,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://mcx.gov.ru/activity/state-support/programs/technical-program/
2,background,Минсельхоз России - меры господдержки,,2026-05-14T07:07:02.583622+00:00,news_background,Биржевая торговля в АПК,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://mcx.gov.ru/docs/birzhevaya-torgovlya-v-apk/
1,background,Минсельхоз России - меры господдержки,,2026-05-14T07:07:02.552966+00:00,news_background,Срочная информация для регионов о предоставлении субсидий,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://mcx.gov.ru/activity/state-support/urgent/
70,background,Regulation.gov.ru,2026-05-14T06:54:21+00:00,2026-05-14T07:08:04.976629+00:00,unknown,"О формах документов, применяемых кредитными организациями при осуществлении кассовых операций, хранении, перевозке и инкассации банкнот и монеты Банка России, при осуществлении кассовых операций с банкнотами и монетой иностранных государств (группы иностранных государств), при приеме, учете, хранении и выдаче драгоценных металлов (золота, серебра, платины и палладия) и драгоценных камней (обработанных природных алмазов), и порядке их заполнения и оформления","Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://regulation.gov.ru/projects/167910
179,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:31.037092+00:00,news_background,Минсельхоз Северной Осетии оценивает как хорошее состояние озимых на большей части площадей,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/4147a
180,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:31.598926+00:00,news_background,"Мировой рынок зерна и масличных: цены на пшеницу немного снизились, на кукурузу и сою чуть выросли","Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41479
181,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:32.148489+00:00,news_background,Китай и США могут заключить новое аграрное соглашение,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41477
182,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:32.739532+00:00,news_background,Дожди оживили посевы зерновых культур в ЕС после засухи в апреле,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41478
183,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:33.306530+00:00,news_background,Концерн «Покровский» объединит агроактивы вокруг компании «Свое зерно»,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41474
184,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:33.877440+00:00,news_background,Северная Осетия засеяла яровыми 12% площадей,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41473
185,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:34.448924+00:00,news_background,Обзор ставок фрахта на 20-й неделе в Азово-Черноморском и Балтийском регионах,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41476
186,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:34.984924+00:00,news_background,Индия возобновила экспорт пшеницы после четырехлетнего перерыва,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41475
187,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:35.572959+00:00,news_background,Зерновой союз назвал риски слишком поздней посевной кампании 2026 года,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41472
189,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:36.655826+00:00,news_background,Патрушев: Россия обеспечивает себя основными видами продовольствия,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/4146e
190,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:37.191938+00:00,news_background,Якушев отметил качественные изменения в сельском хозяйстве РФ за 20 лет,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/4146d
191,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:37.839504+00:00,news_background,За 4 месяца 2026 года экспорт зерна из Казахстана возрос более чем на 14%,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/4146b
194,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:39.504421+00:00,news_background,FAS: производство кукурузы в Сербии восстановится после провального сезона,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41469
197,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:41.197107+00:00,news_background,Хороший старт: аграрии Новосибирской области приступили к весенне-полевым работам!,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41466
198,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:41.728766+00:00,news_background,Брянские аграрии подходят к завершению ярового сева,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41459
199,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:42.266258+00:00,news_background,ЕЭК к осени определит критерии проектов АПК для софинансирования,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41464
200,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:42.831576+00:00,news_background,В Кыргызстане пшеницей засеяли уже более 90% запланированных площадей,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41463
201,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:43.397476+00:00,news_background,Урожай зерновых в Украине в 2026 году составит около 60 млн тонн - Высоцкий,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41462
202,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:43.971244+00:00,news_background,Башкирия в полтора раза увеличила экспорт зерна,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41461
203,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:44.533384+00:00,news_background,До 3% озимых культур могли погибнуть в Пензенской области из-за погоды,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41460
205,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:45.763883+00:00,news_background,Экспорт продукции АПК Ставрополья с начала 2026 года превысил 257 тысяч тонн,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/4145e
206,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:46.326629+00:00,news_background,"9,3 млн тонн пшеницы осталось в Казахстане к началу мая","Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/4145d
207,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:46.909616+00:00,news_background,"РФ в 1-м квартале экспортировала рекордные 60,5 тыс. т чечевицы","Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/4145a
208,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:47.474021+00:00,news_background,Темпы посевных работ в Забайкалье превышают уровень 2025 года,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41458
209,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:48.051806+00:00,news_background,Сводка с полей Оренбуржья,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41457
210,background,ZOL.ru - зерновые новости,2026-05-14T00:00:00+00:00,2026-05-14T07:12:48.603595+00:00,news_background,Яровой сев в Липецкой области достиг экватора,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/n/41454
73,background,Regulation.gov.ru,2026-05-13T15:40:19+00:00,2026-05-14T07:08:05.053150+00:00,unknown,Решение о порядке предоставления субсидии № 22-64470-00598-Р (версия 2),"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",Конец обсуждения: 22.05.2026,https://regulation.gov.ru/projects/167907
75,background,Regulation.gov.ru,2026-05-13T15:34:07+00:00,2026-05-14T07:08:05.093836+00:00,unknown,Решение о порядке предоставления субсидии № 22-60790-00496-Р (версия 2),"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",Конец обсуждения: 22.05.2026,https://regulation.gov.ru/projects/167905
77,background,Regulation.gov.ru,2026-05-13T15:27:53+00:00,2026-05-14T07:08:05.136763+00:00,unknown,Решение о порядке предоставления субсидии № 25-60805-02142-Р версия 2,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",Конец обсуждения: 22.05.2026,https://regulation.gov.ru/projects/167903
51,background,Правительство РФ - новости,2026-05-13T00:00:00+00:00,2026-05-14T07:07:41.961929+00:00,unknown,Дмитрий Патрушев выступил на пленарном заседании отчётно-программного форума партии «Единая Россия» «Есть результат!» в Омской области,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://government.ru/news/58716/
53,background,Правительство РФ - новости,2026-05-13T00:00:00+00:00,2026-05-14T07:07:43.774025+00:00,news_background,Денис Мантуров вручил премии Правительства в области качества,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://government.ru/news/58715/
114,background,Официальные акты Ставропольского края (НПА),2026-05-13T00:00:00+00:00,2026-05-14T07:09:36.316235+00:00,new_rule,"Постановление Правительства Ставропольского края от 12.05.2026 № 241-п ""О внесении изменения в распределение в 2026 году субсидий из бюджета Ставропольского края бюджетам муниципальных образований Ставропольского края на реализацию мероприятий по благоустройству сельских территорий Ставропольского края, утвержденное постановлением Правительства Ставропольского края от 23 января 2026 г. № 27-п""","Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://publication.pravo.gov.ru/Document/View/2600202605130005
115,background,Официальные акты Ставропольского края (НПА),2026-05-13T00:00:00+00:00,2026-05-14T07:09:36.339202+00:00,new_rule,"Постановление Правительства Ставропольского края от 12.05.2026 № 240-п ""О внесении изменений в Положение о региональном государственном контроле (надзоре) в сфере перевозок пассажиров и багажа легковым такси, утвержденное постановлением Правительства Ставропольского края от 25 октября 2021 г. № 534-п""","Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://publication.pravo.gov.ru/Document/View/2600202605130001
117,background,Официальные акты Ставропольского края (НПА),2026-05-13T00:00:00+00:00,2026-05-14T07:09:36.380970+00:00,new_rule,"Постановление Правительства Ставропольского края от 12.05.2026 № 238-п ""О внесении изменения в Порядок предоставления за счет средств бюджета Ставропольского края субсидий на компенсацию части потерь в доходах организаций железнодорожного транспорта, возникающих в результате государственного регулирования тарифов на услуги по использованию железнодорожного транспорта общего пользования, оказываемые при осуществлении перевозок пассажиров в пригородном сообщении на территории Ставропольского края, утвержденный постановлением Правительства Ставропольского края от 22 апреля 2019 г. № 186-п""","Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://publication.pravo.gov.ru/Document/View/2600202605130003
153,irrelevant,Нормативные акты Краснодарского края,2026-05-13T00:00:00+00:00,2026-05-14T07:10:52.635616+00:00,new_rule,OF 2026 No 7 2026 -2 г,Документ не содержит достаточно признаков отраслевого контекста или действия для GR и исключен из ежедневной сводки.,,https://admkrai.krasnodar.ru/upload/iblock/b18/eomkddj6lcxhgw44it6qbtz0ng6py0eu.pdf
30,background,Правительство РФ - документы,2026-05-12T00:00:00+00:00,2026-05-14T07:07:06.154684+00:00,new_rule,Правительство продлило возможность предоставления госгарантий по кредитам на поддержку производственной деятельности предприятий в 2026 году Постановление от 8 мая 2026 года №530,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://government.ru/docs/58684/
64,background,Правительство РФ - новости,2026-05-12T00:00:00+00:00,2026-05-14T07:07:57.411317+00:00,new_rule,Правительство продлило возможность предоставления госгарантий по кредитам на поддержку производственной деятельности предприятий в 2026 году Постановление от 8 мая 2026 года №530,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://government.ru/news/58684/
65,background,Правительство РФ - новости,2026-05-12T00:00:00+00:00,2026-05-14T07:07:57.753805+00:00,unknown,"Интервью Александра Новака газете «Ведомости» Александр Новак: У нас большой запас прочности, экономика адаптируется к новым вызовам.","Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://government.ru/news/58701/
158,irrelevant,Нормативные акты Краснодарского края,2026-05-12T00:00:00+00:00,2026-05-14T07:11:29.609892+00:00,new_rule,Об утверждении государственной программы Краснодарского края «Развитие промышленности Краснодарского края и повышение ее конкурентоспособности» В соответствии с постановлением Г...,Документ не содержит достаточно признаков отраслевого контекста или действия для GR и исключен из ежедневной сводки.,,https://admkrai.krasnodar.ru/upload/iblock/9b3/11sdkvciup7o4z4uhha9ts2vmozm6zsj.pdf
177,background,ZOL.ru - зерновые новости,2026-05-07T00:00:00+00:00,2026-05-14T07:12:26.913899+00:00,news_background,Новости зерновых Новости масличных Новости компаний ТОП 20 Уважаемые коллеги! В этом разделе представлены 20 самых популярных новостей рынка зерна по числу прочтений пользовател...,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,https://www.zol.ru/news/top/
34,background,Правительство РФ - документы,2026-05-06T00:00:00+00:00,2026-05-14T07:07:12.247720+00:00,new_rule,Правительство расширило условия оказания господдержки для реализации промышленных проектов на приоритетных территориях Постановление от 29 апреля 2026 года №493,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://government.ru/docs/58661/
35,background,Правительство РФ - документы,2026-05-06T00:00:00+00:00,2026-05-14T07:07:13.686570+00:00,new_rule,Правительство утвердило Концепцию развития перевозок пассажиров железнодорожным транспортом общего пользования в пригородном сообщении до 2035 года Распоряжение от 28 апреля 2026 года №985-р,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://government.ru/docs/58660/
37,background,Правительство РФ - документы,2026-05-04T00:00:00+00:00,2026-05-14T07:07:16.585256+00:00,new_rule,Правительство списало часть задолженности по бюджетным кредитам ещё 21 региону Распоряжение от 27 апреля 2026 года №955-р,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://government.ru/docs/58643/
39,background,Правительство РФ - документы,2026-04-29T00:00:00+00:00,2026-05-14T07:07:19.459691+00:00,new_rule,Правительство приняло решение о субсидировании кредита для реализации крупного инвестпроекта в области нефтехимии Распоряжение от 23 апреля 2026 года №943-р,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://government.ru/docs/58617/
41,background,Правительство РФ - документы,2026-04-27T00:00:00+00:00,2026-05-14T07:07:22.375163+00:00,new_rule,Правительство утвердило новый перечень стратегически значимых лекарственных средств Распоряжение от 23 апреля 2026 года №942-р,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://government.ru/docs/58579/
46,background,Правительство РФ - документы,2026-04-16T00:00:00+00:00,2026-05-14T07:07:32.810115+00:00,new_rule,"Правительство дополнительно выделило почти 3,5 млрд рублей на восстановление электросетей в новых регионах Распоряжение от 16 апреля 2026 года №861-р","Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://government.ru/docs/58459/
47,background,Правительство РФ - документы,2026-04-16T00:00:00+00:00,2026-05-14T07:07:35.011125+00:00,new_rule,Правительство списало часть задолженности по бюджетным кредитам ещё 16 регионам Распоряжение от 8 апреля 2026 года №781-р,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://government.ru/docs/58458/
49,background,Правительство РФ - документы,2026-04-11T00:00:00+00:00,2026-05-14T07:07:38.382212+00:00,new_rule,Правительство расширило параметры субсидирования расходов на развитие газозаправочной инфраструктуры и переоборудование автомобилей Постановление от 10 апреля 2026 года №387,"Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://government.ru/docs/58413/
106,background,Минсельхоз Ставропольского края - господдержка,2025-02-14T00:00:00+00:00,2026-05-14T07:09:31.558893+00:00,news_background,"Гранты в форме субсидий ветеранам и участникам специальной военной операции, а также членам их семей на финансовое обеспечение затрат, связанных с организацией сельскохозяйственного производства","Документ содержит общий отраслевой контекст, но без признаков мер поддержки, сроков, отборов или регуляторного действия.",,http://mshsk.ru/gospodderzhka/grants-in-the-form-of-subsidies-svo.php
